2020-06-25 08:01:58 startup archives install
2020-06-25 08:01:59 install base-passwd:armhf <none> 3.5.43
2020-06-25 08:01:59 status half-installed base-passwd:armhf 3.5.43
2020-06-25 08:01:59 status unpacked base-passwd:armhf 3.5.43
2020-06-25 08:01:59 status unpacked base-passwd:armhf 3.5.43
2020-06-25 08:01:59 configure base-passwd:armhf 3.5.43 3.5.43
2020-06-25 08:01:59 status unpacked base-passwd:armhf 3.5.43
2020-06-25 08:01:59 status half-configured base-passwd:armhf 3.5.43
2020-06-25 08:02:03 status installed base-passwd:armhf 3.5.43
2020-06-25 08:02:03 startup archives install
2020-06-25 08:02:03 install base-files:armhf <none> 9.9+deb9u12
2020-06-25 08:02:03 status half-installed base-files:armhf 9.9+deb9u12
2020-06-25 08:02:04 status unpacked base-files:armhf 9.9+deb9u12
2020-06-25 08:02:04 status unpacked base-files:armhf 9.9+deb9u12
2020-06-25 08:02:04 configure base-files:armhf 9.9+deb9u12 9.9+deb9u12
2020-06-25 08:02:04 status unpacked base-files:armhf 9.9+deb9u12
2020-06-25 08:02:04 status unpacked base-files:armhf 9.9+deb9u12
2020-06-25 08:02:04 status unpacked base-files:armhf 9.9+deb9u12
2020-06-25 08:02:04 status unpacked base-files:armhf 9.9+deb9u12
2020-06-25 08:02:04 status unpacked base-files:armhf 9.9+deb9u12
2020-06-25 08:02:04 status unpacked base-files:armhf 9.9+deb9u12
2020-06-25 08:02:04 status unpacked base-files:armhf 9.9+deb9u12
2020-06-25 08:02:04 status half-configured base-files:armhf 9.9+deb9u12
2020-06-25 08:02:08 status installed base-files:armhf 9.9+deb9u12
2020-06-25 08:02:08 startup archives install
2020-06-25 08:02:09 upgrade dpkg 1.18.25 1.18.25
2020-06-25 08:02:09 status half-configured dpkg 1.18.25
2020-06-25 08:02:09 status unpacked dpkg 1.18.25
2020-06-25 08:02:09 status half-installed dpkg 1.18.25
2020-06-25 08:02:10 status half-installed dpkg 1.18.25
2020-06-25 08:02:10 status unpacked dpkg:armhf 1.18.25
2020-06-25 08:02:10 status unpacked dpkg:armhf 1.18.25
2020-06-25 08:02:10 configure dpkg:armhf 1.18.25 1.18.25
2020-06-25 08:02:10 status unpacked dpkg:armhf 1.18.25
2020-06-25 08:02:10 status unpacked dpkg:armhf 1.18.25
2020-06-25 08:02:10 status unpacked dpkg:armhf 1.18.25
2020-06-25 08:02:10 status unpacked dpkg:armhf 1.18.25
2020-06-25 08:02:10 status unpacked dpkg:armhf 1.18.25
2020-06-25 08:02:10 status half-configured dpkg:armhf 1.18.25
2020-06-25 08:02:10 status installed dpkg:armhf 1.18.25
2020-06-25 08:02:11 startup archives install
2020-06-25 08:02:11 install libc6:armhf <none> 2.24-11+deb9u4
2020-06-25 08:02:11 status half-installed libc6:armhf 2.24-11+deb9u4
2020-06-25 08:02:18 status unpacked libc6:armhf 2.24-11+deb9u4
2020-06-25 08:02:18 status unpacked libc6:armhf 2.24-11+deb9u4
2020-06-25 08:02:18 configure libc6:armhf 2.24-11+deb9u4 2.24-11+deb9u4
2020-06-25 08:02:18 status unpacked libc6:armhf 2.24-11+deb9u4
2020-06-25 08:02:18 status unpacked libc6:armhf 2.24-11+deb9u4
2020-06-25 08:02:18 status half-configured libc6:armhf 2.24-11+deb9u4
2020-06-25 08:02:22 status installed libc6:armhf 2.24-11+deb9u4
2020-06-25 08:02:22 startup archives install
2020-06-25 08:02:22 install perl-base:armhf <none> 5.24.1-3+deb9u6
2020-06-25 08:02:22 status half-installed perl-base:armhf 5.24.1-3+deb9u6
2020-06-25 08:02:25 status unpacked perl-base:armhf 5.24.1-3+deb9u6
2020-06-25 08:02:25 status unpacked perl-base:armhf 5.24.1-3+deb9u6
2020-06-25 08:02:25 configure perl-base:armhf 5.24.1-3+deb9u6 5.24.1-3+deb9u6
2020-06-25 08:02:25 status unpacked perl-base:armhf 5.24.1-3+deb9u6
2020-06-25 08:02:25 status half-configured perl-base:armhf 5.24.1-3+deb9u6
2020-06-25 08:02:25 status installed perl-base:armhf 5.24.1-3+deb9u6
2020-06-25 08:02:26 startup archives install
2020-06-25 08:02:26 install mawk:armhf <none> 1.3.3-17+b3
2020-06-25 08:02:26 status half-installed mawk:armhf 1.3.3-17+b3
2020-06-25 08:02:26 status unpacked mawk:armhf 1.3.3-17+b3
2020-06-25 08:02:26 status unpacked mawk:armhf 1.3.3-17+b3
2020-06-25 08:02:26 configure mawk:armhf 1.3.3-17+b3 1.3.3-17+b3
2020-06-25 08:02:26 status unpacked mawk:armhf 1.3.3-17+b3
2020-06-25 08:02:26 status half-configured mawk:armhf 1.3.3-17+b3
2020-06-25 08:02:27 status installed mawk:armhf 1.3.3-17+b3
2020-06-25 08:02:27 startup archives install
2020-06-25 08:02:27 install debconf:all <none> 1.5.61
2020-06-25 08:02:27 status half-installed debconf:all 1.5.61
2020-06-25 08:02:28 status unpacked debconf:all 1.5.61
2020-06-25 08:02:28 status unpacked debconf:all 1.5.61
2020-06-25 08:02:28 configure debconf:all 1.5.61 1.5.61
2020-06-25 08:02:28 status unpacked debconf:all 1.5.61
2020-06-25 08:02:28 status unpacked debconf:all 1.5.61
2020-06-25 08:02:28 status unpacked debconf:all 1.5.61
2020-06-25 08:02:28 status half-configured debconf:all 1.5.61
2020-06-25 08:02:32 status installed debconf:all 1.5.61
2020-06-25 08:02:34 startup archives unpack
2020-06-25 08:02:34 install libacl1:armhf <none> 2.2.52-3+b1
2020-06-25 08:02:34 status half-installed libacl1:armhf 2.2.52-3+b1
2020-06-25 08:02:34 status unpacked libacl1:armhf 2.2.52-3+b1
2020-06-25 08:02:34 status unpacked libacl1:armhf 2.2.52-3+b1
2020-06-25 08:02:34 install libattr1:armhf <none> 1:2.4.47-2+b2
2020-06-25 08:02:34 status half-installed libattr1:armhf 1:2.4.47-2+b2
2020-06-25 08:02:35 status unpacked libattr1:armhf 1:2.4.47-2+b2
2020-06-25 08:02:35 status unpacked libattr1:armhf 1:2.4.47-2+b2
2020-06-25 08:02:35 install libaudit-common:all <none> 1:2.6.7-2
2020-06-25 08:02:35 status half-installed libaudit-common:all 1:2.6.7-2
2020-06-25 08:02:35 status unpacked libaudit-common:all 1:2.6.7-2
2020-06-25 08:02:35 status unpacked libaudit-common:all 1:2.6.7-2
2020-06-25 08:02:35 install libaudit1:armhf <none> 1:2.6.7-2
2020-06-25 08:02:35 status half-installed libaudit1:armhf 1:2.6.7-2
2020-06-25 08:02:35 status unpacked libaudit1:armhf 1:2.6.7-2
2020-06-25 08:02:36 status unpacked libaudit1:armhf 1:2.6.7-2
2020-06-25 08:02:36 upgrade base-files:armhf 9.9+deb9u12 9.9+deb9u12
2020-06-25 08:02:36 status half-configured base-files:armhf 9.9+deb9u12
2020-06-25 08:02:36 status unpacked base-files:armhf 9.9+deb9u12
2020-06-25 08:02:36 status half-installed base-files:armhf 9.9+deb9u12
2020-06-25 08:02:36 status half-installed base-files:armhf 9.9+deb9u12
2020-06-25 08:02:36 status unpacked base-files:armhf 9.9+deb9u12
2020-06-25 08:02:36 status unpacked base-files:armhf 9.9+deb9u12
2020-06-25 08:02:36 upgrade base-passwd:armhf 3.5.43 3.5.43
2020-06-25 08:02:36 status half-configured base-passwd:armhf 3.5.43
2020-06-25 08:02:36 status unpacked base-passwd:armhf 3.5.43
2020-06-25 08:02:36 status half-installed base-passwd:armhf 3.5.43
2020-06-25 08:02:37 status half-installed base-passwd:armhf 3.5.43
2020-06-25 08:02:37 status unpacked base-passwd:armhf 3.5.43
2020-06-25 08:02:37 status unpacked base-passwd:armhf 3.5.43
2020-06-25 08:02:37 install bash:armhf <none> 4.4-5
2020-06-25 08:02:37 status half-installed bash:armhf 4.4-5
2020-06-25 08:02:38 status unpacked bash:armhf 4.4-5
2020-06-25 08:02:38 status unpacked bash:armhf 4.4-5
2020-06-25 08:02:39 install libbz2-1.0:armhf <none> 1.0.6-8.1
2020-06-25 08:02:39 status half-installed libbz2-1.0:armhf 1.0.6-8.1
2020-06-25 08:02:39 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2020-06-25 08:02:39 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2020-06-25 08:02:39 install libdebconfclient0:armhf <none> 0.227
2020-06-25 08:02:39 status half-installed libdebconfclient0:armhf 0.227
2020-06-25 08:02:39 status unpacked libdebconfclient0:armhf 0.227
2020-06-25 08:02:39 status unpacked libdebconfclient0:armhf 0.227
2020-06-25 08:02:39 install coreutils:armhf <none> 8.26-3
2020-06-25 08:02:39 status half-installed coreutils:armhf 8.26-3
2020-06-25 08:02:43 status unpacked coreutils:armhf 8.26-3
2020-06-25 08:02:43 status unpacked coreutils:armhf 8.26-3
2020-06-25 08:02:43 install dash:armhf <none> 0.5.8-2.4
2020-06-25 08:02:43 status half-installed dash:armhf 0.5.8-2.4
2020-06-25 08:02:45 status unpacked dash:armhf 0.5.8-2.4
2020-06-25 08:02:45 status unpacked dash:armhf 0.5.8-2.4
2020-06-25 08:02:45 install libdb5.3:armhf <none> 5.3.28-12+deb9u1
2020-06-25 08:02:45 status half-installed libdb5.3:armhf 5.3.28-12+deb9u1
2020-06-25 08:02:46 status unpacked libdb5.3:armhf 5.3.28-12+deb9u1
2020-06-25 08:02:46 status unpacked libdb5.3:armhf 5.3.28-12+deb9u1
2020-06-25 08:02:46 upgrade debconf:all 1.5.61 1.5.61
2020-06-25 08:02:46 status half-configured debconf:all 1.5.61
